"date","hours"
07.10.2021,0.75
14.10.2021,0.75
04.11.2021,1
11.11.2021,0.75
18.11.2021,0.5
25.11.2021,0.75
02.12.2021,0.5
09.12.2021,0.5
16.12.2021,0.75
06.01.2022,0.5
13.01.2022,0.75
28.01.2022,0.5
03.02.2022,0.25
10.02.2022,0.25
10.03.2022,0.75
19.03.2022,0.5
22.03.2022,0.33
31.03.2022,0.5
09.04.2022,0.75
16.04.2022,0.5
30.04.2022,0.5
05.05.2022,0.5
12.05.2022,0.5
19.05.2022,0.5
28.05.2022,1
03.06.2022,0.75
11.06.2022,0.5
25.06.2022,0.75
02.07.2022,0.75
16.07.2022,0.5
